Entity,Code,Year,Mismanaged plastic waste per capita
Africa,OWID_AFR,2019,10.465928
Albania,ALB,2019,24.239153
Algeria,DZA,2019,17.758995
Angola,AGO,2019,7.4452786
Antigua and Barbuda,ATG,2019,6.4639177
Argentina,ARG,2019,10.401912
Asia,OWID_ASI,2019,8.667235
Australia,AUS,2019,0.20894338
Bahamas,BHS,2019,5.686375
Bahrain,BHR,2019,0.63558805
Bangladesh,BGD,2019,6.2681084
Barbados,BRB,2019,3.0383275
Belgium,BEL,2019,0.19793743
Belize,BLZ,2019,15.438461
Benin,BEN,2019,11.298618
Bosnia and Herzegovina,BIH,2019,16.828537
Brazil,BRA,2019,15.620469
Brunei,BRN,2019,1.5981524
Bulgaria,BGR,2019,0.4452857
Burkina Faso,BFA,2019,15.61429
Cambodia,KHM,2019,15.011524
Cameroon,CMR,2019,22.368141
Canada,CAN,2019,0.63048303
Cape Verde,CPV,2019,6.4872727
Chile,CHL,2019,1.623417
China,CHN,2019,8.559308
Colombia,COL,2019,1.6975704
Comoros,COM,2019,69.51586
Congo,COG,2019,12.133618
Costa Rica,CRI,2019,1.139263
Cote d'Ivoire,CIV,2019,11.339348
Croatia,HRV,2019,4.247942
Cyprus,CYP,2019,0.69808173
Democratic Republic of Congo,COD,2019,15.781936
Denmark,DNK,2019,0.067567565
Djibouti,DJI,2019,10.563655
Dominica,DMA,2019,15.027778
Dominican Republic,DOM,2019,18.066673
East Timor,TLS,2019,13.336427
Ecuador,ECU,2019,6.2620583
Egypt,EGY,2019,14.299618
El Salvador,SLV,2019,3.3611715
Equatorial Guinea,GNQ,2019,6.9343657
Eritrea,ERI,2019,24.045753
Estonia,EST,2019,0.4524887
Europe,OWID_EUR,2019,1.5802261
Fiji,FJI,2019,4.334831
Finland,FIN,2019,0.47378886
France,FRA,2019,0.42653155
French Guiana,GUF,2019,0.4329897
Gabon,GAB,2019,2.7570179
Gambia,GMB,2019,14.946763
Georgia,GEO,2019,0.0768076
Germany,DEU,2019,0.6067747
Ghana,GHA,2019,17.095207
Greece,GRC,2019,0.4302492
Grenada,GRD,2019,12.116072
Guadeloupe,GLP,2019,0.405
Guatemala,GTM,2019,17.689722
Guinea,GIN,2019,11.588521
Guinea-Bissau,GNB,2019,10.653306
Guyana,GUY,2019,35.20434
Haiti,HTI,2019,21.128296
Honduras,HND,2019,14.979992
