Entity,Code,Year,Share of global plastic waste emitted to the ocean
Africa,OWID_AFR,2019,7.9893165
Albania,ALB,2019,0.15978225
Algeria,DZA,2019,0.5895097
Angola,AGO,2019,0.08780366
Antigua and Barbuda,ATG,2019,0.000204195
Argentina,ARG,2019,0.42237645
Asia,OWID_ASI,2019,80.99357
Australia,AUS,2019,0.003267113
Bahamas,BHS,2019,0.002041946
Bahrain,BHR,2019,0
Bangladesh,BGD,2019,2.515677
Barbados,BRB,2019,0.004594378
Belgium,BEL,2019,0.003471308
Belize,BLZ,2019,0.038184386
Benin,BEN,2019,0.16733745
Bosnia and Herzegovina,BIH,2019,0.000612584
Brazil,BRA,2019,3.8591752
Brunei,BRN,2019,0.013681036
Bulgaria,BGR,2019,0.000714681
Burkina Faso,BFA,2019,0
Cambodia,KHM,2019,0.11363427
Cameroon,CMR,2019,1.08948
Canada,CAN,2019,0.024299152
Cape Verde,CPV,2019,0
Chile,CHL,2019,0.032875326
China,CHN,2019,7.2189927
Colombia,COL,2019,0.04400393
Comoros,COM,2019,0
Congo,COG,2019,0.06901776
Costa Rica,CRI,2019,0.045943778
Cote d'Ivoire,CIV,2019,0.4884334
Croatia,HRV,2019,0.022869792
Cyprus,CYP,2019,0.000306292
Democratic Republic of Congo,COD,2019,0.04288086
Denmark,DNK,2019,0.000918876
Djibouti,DJI,2019,0.000408389
Dominica,DMA,2019,0.005411156
Dominican Republic,DOM,2019,0.64076257
EU-27,,2019,0.22022384
East Timor,TLS,2019,0.07299956
Ecuador,ECU,2019,0.11598251
Egypt,EGY,2019,0.25228238
El Salvador,SLV,2019,0.0824946
Equatorial Guinea,GNQ,2019,0.0413494
Eritrea,ERI,2019,0.00490067
Estonia,EST,2019,0.001225167
Europe,OWID_EUR,2019,0.5954313
Fiji,FJI,2019,0.03726551
Finland,FIN,2019,0
France,FRA,2019,0.02399286
French Guiana,GUF,2019,0.000714681
Gabon,GAB,2019,0.04543329
Gambia,GMB,2019,0.042982955
Georgia,GEO,2019,0.000306292
Germany,DEU,2019,0.013681036
Ghana,GHA,2019,0.42727712
Greece,GRC,2019,0.022053013
Grenada,GRD,2019,0.013272647
Guadeloupe,GLP,2019,0.000408389
Guatemala,GTM,2019,0.7291788
Guinea,GIN,2019,0.23962232
Guinea-Bissau,GNB,2019,0.025218029
Guyana,GUY,2019,0.12721321
Haiti,HTI,2019,0.7074321
Honduras,HND,2019,0.24870898
Hong Kong,HKG,2019,0.011434896
Iceland,ISL,2019,0
India,IND,2019,12.916634
Indonesia,IDN,2019,5.7514462
Iran,IRN,2019,0.09474628
Iraq,IRQ,2019,0.006840518
Ireland,IRL,2019,0.011741187
Israel,ISR,2019,0.00336921
Italy,ITA,2019,0.042268276
Jamaica,JAM,2019,0.23829506
Japan,JPN,2019,0.18734851
Jordan,JOR,2019,0.000102097
Kazakhstan,KAZ,2019,0.001327265
Kenya,KEN,2019,0.026443196
Kiribati,KIR,2019,0
Kuwait,KWT,2019,0.000714681
Latvia,LVA,2019,0.000918876
Lebanon,LBN,2019,0.06983454
Lesotho,LSO,2019,0
Liberia,LBR,2019,0.26933262
Libya,LBY,2019,0.08974351
Lithuania,LTU,2019,0.000714681
Macau,,2019,0.034815174
Madagascar,MDG,2019,0.0791254
Malaysia,MYS,2019,7.463107
Maldives,MDV,2019,0
Malta,MLT,2019,0
Marshall Islands,MHL,2019,0
Martinique,MTQ,2019,0.00224614
Mauritania,MRT,2019,0.012966355
Mauritius,MUS,2019,0
Mexico,MEX,2019,0.35856566
Micronesia,,2019,0.003777599
Monaco,MCO,2019,0
Montenegro,MNE,2019,0
Morocco,MAR,2019,0.18377511
Mozambique,MOZ,2019,0.2597355
Myanmar,MMR,2019,0.2597355
Namibia,NAM,2019,0.000204195
Netherlands,NLD,2019,0.027668364
New Zealand,NZL,2019,0.006942615
Nicaragua,NIC,2019,0.14957252
Nigeria,NGA,2019,1.9030933
North America,OWID_NAM,2019,4.4991207
North Korea,PRK,2019,0.005104864
Norway,NOR,2019,0
Oceania,OWID_OCE,2019,0.37071523
Oman,OMN,2019,0.000102097
Pakistan,PAK,2019,0.08913093
Palau,PLW,2019,0.000714681
Palestine,PSE,2019,0.012047479
Panama,PAN,2019,0.53468347
Papua New Guinea,PNG,2019,0.31231558
Peru,PER,2019,0.026443196
Philippines,PHL,2019,36.38451
Poland,POL,2019,0.002960821
Portugal,PRT,2019,0.007759393
Puerto Rico,PRI,2019,0.007248907
Qatar,QAT,2019,0
Reunion,REU,2019,0
Romania,ROU,2019,0.008167783
Russia,RUS,2019,0.05533673
Saint Kitts and Nevis,KNA,2019,0.000102097
Saint Lucia,LCA,2019,0.04584168
Saint Martin,,2019,0
Saint Vincent and the Grenadines,VCT,2019,0.00826988
Samoa,WSM,2019,0
Sao Tome and Principe,STP,2019,0.007861491
Saudi Arabia,SAU,2019,0.000306292
Senegal,SEN,2019,0.01725444
Seychelles,SYC,2019,0
Sierra Leone,SLE,2019,0.37000054
Singapore,SGP,2019,0.016743954
Sint Maarten,,2019,0
Slovakia,SVK,2019,0
Slovenia,SVN,2019,0.00112307
Solomon Islands,SLB,2019,0.010209728
Somalia,SOM,2019,0.000204195
South Africa,ZAF,2019,0.435547
South America,OWID_SAM,2019,5.513253
South Korea,KOR,2019,0.039511647
Spain,ESP,2019,0.02399286
Sri Lanka,LKA,2019,0.98564714
Sudan,SDN,2019,0.010822312
Suriname,SUR,2019,0.17121714
Sweden,SWE,2019,0.003675502
Syria,SYR,2019,0.00449228
Taiwan,TWN,2019,0.054213658
Tanzania,TZA,2019,0.5906328
Thailand,THA,2019,2.3284307
Togo,TGO,2019,0.044514414
Tonga,TON,2019,0
Trinidad and Tobago,TTO,2019,0.36316004
Tunisia,TUN,2019,0.07024293
Turkey,TUR,2019,1.462952
Ukraine,UKR,2019,0.08770157
United Arab Emirates,ARE,2019,0.001429362
United Kingdom,GBR,2019,0.07177439
United States,USA,2019,0.2481985
Uruguay,URY,2019,0.10189309
Venezuela,VEN,2019,0.6113585
Vietnam,VNM,2019,2.8812873
Western Sahara,ESH,2019,0.003879697
Yemen,YEM,2019,0.025728514
Zimbabwe,ZWE,2019,0
